academy_id,item_id,item_label,current_quantity,calculated_quantity,delta,move_count,probable_cause,probable_cause_label,first_move_at,last_move_at,legacy_quantity,legacy_delta,dual_pool,rental_out,physical_quantity,sales_without_move_count,opening_balance_suggestion
699f21b70006985daa90,6a31e21e003c03f9b662,CAMISA GBLP V1 FEM BRANCA · G,3,4,-1,3,balance_lower_than_moves,Saldo menor que a soma dos movimentos,2026-05-20T23:45:12.710+00:00,2026-07-03T00:23:00.381+00:00,,0,true,0,3,0,0
699f21b70006985daa90,6a31e2220033940bcc3b,CAMISA GBLP V1 MASC PRETA · P,4,5,-1,3,balance_lower_than_moves,Saldo menor que a soma dos movimentos,2026-05-20T23:45:13.292+00:00,2026-07-03T00:23:00.636+00:00,,0,true,0,4,0,0
699f21b70006985daa90,6a31e226000b8de917e4,CAMISA GBLP V1 MASC PRETA · XG,4,5,-1,3,balance_lower_than_moves,Saldo menor que a soma dos movimentos,2026-05-20T23:45:18.583+00:00,2026-07-03T00:23:01.146+00:00,,0,true,0,4,0,0
699f21b70006985daa90,6a31e2270026a93adb79,CAMISA GBLP V1 INF PRETA · G,1,2,-1,8,balance_lower_than_moves,Saldo menor que a soma dos movimentos,2026-05-20T23:45:13.445+00:00,2026-07-03T00:37:01.209+00:00,,0,true,0,1,0,0
699f21b70006985daa90,6a31e228000c2f922c24,CAMISA GBLP V1 INF PRETA · P,1,4,-3,5,balance_lower_than_moves,Saldo menor que a soma dos movimentos,2026-05-20T23:45:13.557+00:00,2026-07-03T00:23:01.650+00:00,,0,true,0,1,0,0
699f21b70006985daa90,6a31e2300037e0cdc57f,KIMONO GBK LITE RIPSTOP BRA · M4,2,3,-1,6,balance_lower_than_moves,Saldo menor que a soma dos movimentos,2026-05-20T23:45:20.441+00:00,2026-07-03T00:23:03.174+00:00,,0,true,0,2,0,0
699f21b70006985daa90,6a31e231001ca3dc5d11,KIMONO GBK LITE RIPSTOP BRA · M2,5,10,-5,8,balance_lower_than_moves,Saldo menor que a soma dos movimentos,2026-05-20T23:45:20.441+00:00,2026-07-03T00:23:03.431+00:00,,0,true,0,5,0,0
699f21b70006985daa90,6a31e2320026888f09bb,KIMONO GBK LITE RIPSTOP BRA · M0,0,3,-3,6,balance_lower_than_moves,Saldo menor que a soma dos movimentos,2026-06-03T10:56:08.482+00:00,2026-07-03T00:23:03.679+00:00,,0,true,0,0,0,0
699f21b70006985daa90,6a31e2340021d5ed1b1c,KIMONO GBK LITE RIPSTOP BRA · M1,2,5,-3,7,balance_lower_than_moves,Saldo menor que a soma dos movimentos,2026-05-20T23:45:20.579+00:00,2026-07-03T00:23:03.936+00:00,,0,true,0,2,0,0
699f21b70006985daa90,6a31e2480020cccdc83f,KIMONO ATLETA AZUL · A3,0,1,-1,6,balance_lower_than_moves,Saldo menor que a soma dos movimentos,2026-05-20T23:45:25.607+00:00,2026-07-03T00:23:07.375+00:00,,0,true,0,0,0,0
699f21b70006985daa90,6a46d6c40001436ef207,BERMUDA NO GI SEM VELCRO GB ESSENTIALS · 40,1,2,-1,4,balance_lower_than_moves,Saldo menor que a soma dos movimentos,2026-05-27T23:04:08.555+00:00,2026-07-03T00:23:15.964+00:00,,0,true,0,1,0,0
