item_id,item_label,current_quantity,calculated_quantity,delta,tipo,quantidade,move_count,probable_cause,academy_id
6a31e21e003c03f9b662,CAMISA GBLP V1 FEM BRANCA · G,3,1,2,entrada,2,1,balance_higher_than_moves,699f21b70006985daa90
6a31e2220033940bcc3b,CAMISA GBLP V1 MASC PRETA · P,4,1,3,entrada,3,1,balance_higher_than_moves,699f21b70006985daa90
6a31e223002e1d2f8b0d,CAMISA GBLP V1 MASC PRETA · GG,4,1,3,entrada,3,1,balance_higher_than_moves,699f21b70006985daa90
6a31e226000b8de917e4,CAMISA GBLP V1 MASC PRETA · XG,4,1,3,entrada,3,1,balance_higher_than_moves,699f21b70006985daa90
6a31e2270026a93adb79,CAMISA GBLP V1 INF PRETA · G,1,-2,3,entrada,3,3,balance_higher_than_moves,699f21b70006985daa90
6a31e228000c2f922c24,CAMISA GBLP V1 INF PRETA · P,1,0,1,entrada,1,2,balance_higher_than_moves,699f21b70006985daa90
6a31e22a000d617abdcd,CAMISETA TRAINING INFANTIL GB ESSENTIALS · M,0,6,-6,saida,6,6,balance_lower_than_moves,699f21b70006985daa90
6a31e22a00341112d884,CAMISETA TRAINING INFANTIL GB ESSENTIALS · P,2,6,-4,saida,4,5,balance_lower_than_moves,699f21b70006985daa90
6a31e22b001a079ccb49,CAMISETA TRAINING INFANTIL GB ESSENTIALS · G,2,4,-2,saida,2,3,balance_lower_than_moves,699f21b70006985daa90
6a31e22c0015b923d944,CAMISETA TRAINING INFANTIL GB ESSENTIALS · GG,4,2,2,entrada,2,3,balance_higher_than_moves,699f21b70006985daa90
6a31e22c003975c77896,CAMISETA TRAINING INFANTIL GB ESSENTIALS · PP,4,7,-3,saida,3,5,balance_lower_than_moves,699f21b70006985daa90
6a31e2300037e0cdc57f,KIMONO GBK LITE RIPSTOP BRA · M4,2,5,-3,saida,3,4,balance_lower_than_moves,699f21b70006985daa90
6a31e231001ca3dc5d11,KIMONO GBK LITE RIPSTOP BRA · M2,5,1,4,entrada,4,5,balance_higher_than_moves,699f21b70006985daa90
6a31e2320026888f09bb,KIMONO GBK LITE RIPSTOP BRA · M0,0,4,-4,saida,4,3,balance_lower_than_moves,699f21b70006985daa90
6a31e2340021d5ed1b1c,KIMONO GBK LITE RIPSTOP BRA · M1,2,4,-2,saida,2,4,balance_lower_than_moves,699f21b70006985daa90
6a31e238001b671ae896,RASHGUARD RANQUEADA GB ESSENTIALS- MARROM · G,0,1,-1,saida,1,1,balance_lower_than_moves,699f21b70006985daa90
6a31e23a00175f58beff,RASHGUARD RANQUEADA GB ESSENTIALS- ROXA · P,0,1,-1,saida,1,1,balance_lower_than_moves,699f21b70006985daa90
6a31e23b001fc6e4392d,RASHGUARD RANQUEADA GB ESSENTIALS- ROXA · GG,0,1,-1,saida,1,1,balance_lower_than_moves,699f21b70006985daa90
6a31e23f00183e83f59c,RASHGUARD RANQUEADA GB ESSENTIALS- AZUL · P,1,2,-1,saida,1,2,balance_lower_than_moves,699f21b70006985daa90
6a31e23f003bb3eb36f3,RASHGUARD RANQUEADA GB ESSENTIALS- AZUL · M,0,1,-1,saida,1,1,balance_lower_than_moves,699f21b70006985daa90
6a31e240003239970d3a,RASHGUARD RANQUEADA GB ESSENTIALS- BRANCA · M,1,-2,3,entrada,3,5,balance_higher_than_moves,699f21b70006985daa90
6a31e241002e4d665ab4,RASHGUARD RANQUEADA GB ESSENTIALS- BRANCA · G,2,-2,4,entrada,4,3,balance_higher_than_moves,699f21b70006985daa90
6a31e2420037b0c15d34,RASHGUARD RANQUEADA GB ESSENTIALS- BRANCA · P,2,-1,3,entrada,3,4,balance_higher_than_moves,699f21b70006985daa90
6a31e244002ff88c344d,CAMISETA TRAINING GB ESSENTIALS · EGG,1,3,-2,saida,2,2,balance_lower_than_moves,699f21b70006985daa90
6a31e24600200f298545,CAMISETA TRAINING GB ESSENTIALS · G,2,0,2,entrada,2,4,balance_higher_than_moves,699f21b70006985daa90
6a31e24700290d01dc48,CAMISETA TRAINING GB ESSENTIALS · M,4,8,-4,saida,4,5,balance_lower_than_moves,699f21b70006985daa90
6a31e2480020cccdc83f,KIMONO ATLETA AZUL · A3,0,-3,3,entrada,3,4,balance_higher_than_moves,699f21b70006985daa90
6a31e24a0019438fbef1,KIMONO ATLETA AZUL · A2,1,-1,2,entrada,2,3,balance_higher_than_moves,699f21b70006985daa90
6a31e24b0034e53b50fb,KIMONO ATLETAGB V4 · A0,0,1,-1,saida,1,1,balance_lower_than_moves,699f21b70006985daa90
6a31e24e003350cebf3f,KIMONO GB1 V2 · A0,1,3,-2,saida,2,4,balance_lower_than_moves,699f21b70006985daa90
6a31e24f00197e3db553,KIMONO GB1 V2 · A2,0,4,-4,saida,4,4,balance_lower_than_moves,699f21b70006985daa90
6a31e24f003d632a9955,KIMONO GB1 V2 · A3,6,5,1,entrada,1,3,balance_higher_than_moves,699f21b70006985daa90
6a31e250002295939f67,KIMONO GB1 V2 · A5,0,1,-1,saida,1,1,balance_lower_than_moves,699f21b70006985daa90
6a31e2510019af529595,FAIXA GB EDITION ADULTO V2 · A2,0,-1,1,entrada,1,2,balance_higher_than_moves,699f21b70006985daa90
6a31e251003dd1134179,FAIXA GB EDITION ADULTO V2 · A4,0,1,-1,saida,1,2,balance_lower_than_moves,699f21b70006985daa90
6a31e2520026af46ac18,FAIXA GB EDITION ADULTO V2 · A3,0,-3,3,entrada,3,3,balance_higher_than_moves,699f21b70006985daa90
6a31e257003033d0bac9,FAIXA GB EDITION V2 · A3,3,2,1,entrada,1,5,balance_higher_than_moves,699f21b70006985daa90
6a31e25a001edbc26eb4,CAMISETA TACTICAL - NATURAL · M,5,0,5,entrada,5,4,balance_higher_than_moves,699f21b70006985daa90
6a31e25b000385837d6a,CAMISETA TACTICAL - NATURAL · P,1,0,1,entrada,1,2,balance_higher_than_moves,699f21b70006985daa90
6a31e25b0026f0223f68,CAMISETA TACTICAL - NATURAL · G,1,0,1,entrada,1,4,balance_higher_than_moves,699f21b70006985daa90
6a327a6300204deb2e0b,KIMONO GBK  LITE RIPSOT  BRA - ROSA · M2 · Rosa,2,1,1,entrada,1,2,balance_higher_than_moves,699f21b70006985daa90
6a327a630033829798e9,KIMONO GBK  LITE RIPSOT  BRA - ROSA · M3 · Rosa,1,0,1,entrada,1,2,balance_higher_than_moves,699f21b70006985daa90
6a327e250036c26bb815,AGENDA GBK,3,4,-1,saida,1,5,balance_lower_than_moves,699f21b70006985daa90
6a32825c0038e6dff8d6,KIMONO AZUL · M1 · AZUL,0,-1,1,entrada,1,1,balance_higher_than_moves,699f21b70006985daa90
6a3330fd0029f3c9de3c,KIMONO GBK  LITE RIPSOT  BRA - ROSA · M0,0,-3,3,entrada,3,3,balance_higher_than_moves,699f21b70006985daa90
6a3330fd0035d68da717,KIMONO GBK  LITE RIPSOT  BRA - ROSA · M1,0,-1,1,entrada,1,1,balance_higher_than_moves,699f21b70006985daa90
6a3330fe0003540ff836,KIMONO GBK  LITE RIPSOT  BRA - ROSA · M2,0,-3,3,entrada,3,1,balance_higher_than_moves,699f21b70006985daa90
6a333515001ad88ed6c2,RASHGUARD RANQUEADA M/L PRETA · G,0,-1,1,entrada,1,1,balance_higher_than_moves,699f21b70006985daa90
6a3335b400160d4441d7,RASGUARDE RANQUEADA M/L LUDADOR BRANCA · M,3,1,2,entrada,2,1,balance_higher_than_moves,699f21b70006985daa90
6a3d9f21003a1f877714,CAMISETA  TACTICAL PRETA · P,0,1,-1,saida,1,1,balance_lower_than_moves,699f21b70006985daa90
6a3da397001fad7f9572,SHORT DE  TREINO SAKURA V3 - PRETO · G,0,1,-1,saida,1,1,balance_lower_than_moves,699f21b70006985daa90
6a46d6bd00314faff796,BERMUDA NO GI SEM VELCRO GB ESSENTIALS · 34,1,2,-1,saida,1,2,balance_lower_than_moves,699f21b70006985daa90
6a46d6bf003d0b7ffd07,BERMUDA NO GI SEM VELCRO GB ESSENTIALS · 36,1,2,-1,saida,1,2,balance_lower_than_moves,699f21b70006985daa90
6a46d6c1003bda87651c,BERMUDA NO GI SEM VELCRO GB ESSENTIALS · 38,2,4,-2,saida,2,2,balance_lower_than_moves,699f21b70006985daa90
6a46d6c40001436ef207,BERMUDA NO GI SEM VELCRO GB ESSENTIALS · 40,1,3,-2,saida,2,2,balance_lower_than_moves,699f21b70006985daa90
6a46d6c8000ea5da36b9,BERMUDA NO GI SEM VELCRO GB ESSENTIALS · 46,1,3,-2,saida,2,2,balance_lower_than_moves,699f21b70006985daa90
6a46d6ca001559266b95,BERMUDA NO GI SEM VELCRO GB ESSENTIALS · 48,2,4,-2,saida,2,2,balance_lower_than_moves,699f21b70006985daa90
